example_id                                              | status | run_time        |
./spec/core/resources/color_manager_spec.rb[1:4:2:2]    | passed | 0.0008 seconds  |
./spec/core/resources/color_manager_spec.rb[1:4:2:3]    | passed | 0.00067 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:2:4]    | passed | 0.00194 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:2:5]    | passed | 0.00074 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:2:6]    | passed | 0.00094 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:3:1]    | passed | 0.00117 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:3:2]    | passed | 0.00065 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:3:3]    | passed | 0.00082 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:3:4]    | passed | 0.00064 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:4:1]    | passed | 0.00066 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:4:2]    | passed | 0.00093 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:4:3]    | passed | 0.0007 seconds  |
./spec/core/resources/color_manager_spec.rb[1:4:4:4]    | passed | 0.00451 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:5:1]    | passed | 0.00068 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:5:2]    | passed | 0.00077 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:5:3]    | passed | 0.0007 seconds  |
./spec/core/resources/color_manager_spec.rb[1:4:5:4]    | passed | 0.00066 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:5:5]    | passed | 0.00068 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:5:6]    | passed | 0.00073 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:6:1]    | passed | 0.00122 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:6:2]    | passed | 0.0012 seconds  |
./spec/core/resources/color_manager_spec.rb[1:4:6:3]    | passed | 0.0007 seconds  |
./spec/core/resources/color_manager_spec.rb[1:4:7:1:1]  | passed | 0.00119 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:7:2:1]  | passed | 0.00083 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:8:1]    | passed | 0.00242 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:8:2]    | passed | 0.00222 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:8:3]    | passed | 0.00319 seconds |
./spec/core/resources/color_manager_spec.rb[1:4:8:4]    | passed | 0.00243 seconds |
./spec/core/resources/color_manager_spec.rb[1:5:1:1]    | passed | 0.00895 seconds |
./spec/core/type_converter_spec.rb[1:1:1:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:2:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:2:2]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:2:3]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:2:4]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:1:2:5]             | passed | 0.00008 seconds |
./spec/core/type_converter_spec.rb[1:1:3:1]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:1:4:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:5:1]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:1:6:1]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:1:7:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:1:7:2]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:2:1:1]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:2:2:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:2:2:2]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:2:3:1]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:2:3:2]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:3:1:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:3:1:2]             | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:3:2:1]             | passed | 0.00008 seconds |
./spec/core/type_converter_spec.rb[1:3:3:1]             | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:4:1]               | passed | 0.00008 seconds |
./spec/core/type_converter_spec.rb[1:4:2]               | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:4:3]               | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:5:1]               | passed | 0.00008 seconds |
./spec/core/type_converter_spec.rb[1:5:2]               | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:5:3]               | passed | 0.00024 seconds |
./spec/core/type_converter_spec.rb[1:6:1]               | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:6:2]               | passed | 0.00005 seconds |
./spec/core/type_converter_spec.rb[1:7:1]               | passed | 0.00006 seconds |
./spec/core/type_converter_spec.rb[1:7:2]               | passed | 0.00011 seconds |
./spec/core/type_converter_spec.rb[1:7:3]               | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:7:4]               | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:7:5]               | passed | 0.00007 seconds |
./spec/core/type_converter_spec.rb[1:7:6]               | passed | 0.00005 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:1:1] | passed | 0.00012 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:1:2] | passed | 0.00011 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:1:3] | passed | 0.00012 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:1:4] | passed | 0.00011 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:1:5] | passed | 0.00013 seconds |
./spec/react/converters/base_converter_spec.rb[1:1:2:1] | passed | 0.00012 seconds |
